food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"GAME MEAT,DEER,TOP RND,LN,1"" STEAK,CKD,BRLD",152.0,31.47,0.0,1.92,45.0,0.0
"BAGEL,PLN,TSTD, ENR W/CA PROP(INCLUDE ONION,POPPY,SESAME)",257.0,10.02,50.5,1.62,517.0,0.0
"BAGELS,PLN,TSTD,ENR W/CA PROP (INCLUDES ONION,POPPY,SESAME)",288.0,11.14,57.11,1.72,480.0,0.0
"BAGELS,EGG",278.0,10.6,53.0,2.1,505.0,0.0
"BAGELS,CINNAMON-RAISIN",273.0,9.8,55.2,1.7,433.0,0.0
"BAGELS,CINNAMON-RAISIN,TSTD",294.0,10.6,59.3,1.8,346.0,0.0
"BAGELS,OAT BRAN",255.0,10.7,53.3,1.2,590.0,0.0
"BISCUITS,PLN OR BTTRMLK,FRZ,BKD",365.0,6.2,48.5,16.5,942.0,0.0
"BISCUITS,PLN OR BTTRMLK,DRY MIX",428.0,8.0,63.3,15.4,1276.0,0.0
"BISCUITS,PLN OR BTTRMLK,DRY MIX,PREP",335.0,7.3,48.4,12.1,955.0,0.0
"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT",257.0,6.7,47.6,4.5,987.0,0.0
"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT,BKD",300.0,7.8,55.4,5.2,1000.0,0.0
"BISCUIT, PLN OR BUTMLK, REFRI DOUGH, HIGHER FAT",322.0,6.66,43.27,13.63,999.0,0.0
"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,HIGHER FAT,BKD",352.0,7.38,46.63,15.09,1080.0,0.0
"BISCUITS,PLN OR BTTRMLK,PREP FROM RECIPE",353.0,7.0,44.6,16.3,580.0,0.0
"BISCUITS,MXD GRAIN,REFR DOUGH",263.0,6.1,47.4,5.6,670.0,0.0
"BREAD,BANANA,PREP FROM RECIPE,MADE W/MARGARINE",326.0,4.3,54.6,10.5,302.0,0.0
"BREAD,BOSTON BROWN,CANNED",195.0,5.2,43.3,1.5,631.0,0.0
"BREAD,CORNBREAD,DRY MIX,ENR (INCL CORN MUFFIN MIX)",418.0,7.0,69.5,12.2,817.0,0.0
"BREAD,CORNBREAD,DRY MIX,PREP",314.0,7.2,48.1,10.0,778.0,0.0
"BREAD,CORNBREAD,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",266.0,6.7,43.5,7.1,658.0,0.0
"BREAD,CRACKED-WHEAT",260.0,8.7,49.5,3.9,538.0,0.0
"BREAD,EGG",283.0,9.5,47.8,6.0,412.0,0.0
"BREAD,EGG,TOASTED",315.0,10.5,52.6,6.6,540.0,0.0
"BREAD, FRENCH OR VIENNA (INCLUDES SOURDOUGH)",289.0,11.75,56.44,1.83,513.0,0.0
"BREAD, FRENCH OR VIENNA, TSTD (IND SOURDOUGH)",319.0,13.0,61.93,2.14,720.0,0.0
"BREAD,IRISH SODA,PREP FROM RECIPE",290.0,6.6,56.0,5.0,398.0,0.0
"BREAD,ITALIAN",271.0,8.8,50.0,3.5,584.0,0.0
"BREAD,MULTI-GRAIN (INCLUDES WHOLE-GRAIN)",265.0,13.36,43.34,4.23,420.0,0.0
"BREAD,MULTI-GRAIN,TSTD (INCLUDES WHOLE-GRAIN)",288.0,14.52,47.11,4.6,457.0,0.0
"BREAD,OAT BRAN",236.0,10.4,39.8,4.4,407.0,0.0
"BREAD,OAT BRAN,TOASTED",259.0,11.4,43.7,4.8,448.0,0.0
"BREAD,OATMEAL",269.0,8.4,48.5,4.4,470.0,0.0
"BREAD,OATMEAL,TOASTED",292.0,9.2,52.7,4.8,651.0,0.0
"BREAD,PITA,WHITE,ENRICHED",275.0,9.1,55.7,1.2,536.0,0.0
"BREAD,PITA,WHOLE-WHEAT",266.0,9.8,55.0,2.6,532.0,0.0
"BREAD,PROT (INCL GLUTEN)",245.0,12.1,43.8,2.2,478.0,0.0
"BREAD,PUMPERNICKEL",250.0,8.7,47.5,3.1,671.0,0.0
"BREAD,PUMPERNICKEL,TSTD",275.0,9.5,52.2,3.4,738.0,0.0
"BREAD,RAISIN,ENRICHED",274.0,7.9,52.3,4.4,313.0,0.0
"BREAD,RAISIN,TSTD,ENR",297.0,8.6,56.9,4.8,424.0,0.0
"BREAD,RED-CAL,OAT BRAN",201.0,8.0,41.3,3.2,573.0,0.0
"BREAD,RED-CAL,OAT BRAN,TSTD",239.0,9.5,49.2,3.8,418.0,0.0
"BREAD,RED-CAL,OATMEAL",210.0,7.6,43.3,3.5,388.0,0.0
"BREAD,REDUCED-CALORIE,RYE",203.0,9.1,40.5,2.9,513.0,0.0
"BREAD,RED-CAL,WHEAT",217.0,13.32,42.47,2.92,332.0,0.0
"BREAD,RED-CAL,WHITE",207.0,8.7,44.3,2.5,453.0,0.0
"BREAD,RICE BRAN",243.0,8.9,43.5,4.6,303.0,0.0
"BREAD,RYE",258.0,8.5,48.3,3.3,660.0,0.0
"BREAD,RYE,TOASTED",284.0,9.4,53.1,3.6,725.0,0.0
"BREAD,WHEAT",270.0,10.37,49.46,3.44,519.0,0.0
"BREAD, WHEAT, TSTD",313.0,12.96,55.77,4.27,611.0,0.0
"BREAD,WHEAT BRAN",248.0,8.8,47.8,3.4,486.0,0.0
"BREAD,WHEAT GERM",261.0,9.6,48.3,2.9,553.0,0.0
"BREAD,WHITE,COMMLY PREP (INCL SOFT BREAD CRUMBS)",265.0,9.15,49.06,3.19,491.0,0.0
"BREAD,WHITE,COMMLY PREP,TSTD",293.0,9.0,54.4,4.0,592.0,0.0
"BREAD,WHITE,PREP FROM RECIPE,MADE W/NONFAT DRY MILK",274.0,7.7,53.6,2.6,336.0,0.0
"BREAD,WHITE,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",285.0,7.9,49.6,5.7,359.0,0.0
"BREAD,WHOLE-WHEAT,COMM. PREPARED",247.0,12.95,41.29,3.35,472.0,0.0
"BREAD, WHOLE-WHEAT, COMMER PREP, TOASTED",306.0,16.27,51.16,4.07,583.0,0.0
"BREAD CRUMBS,DRY,GRATED,PLN",395.0,13.35,71.98,5.3,732.0,0.0
"BREAD STICKS,PLAIN",412.0,12.0,68.4,9.5,657.0,0.0
"BREAD STUFFING,BREAD,DRY MIX",386.0,11.0,76.2,3.4,1405.0,0.0
"BREAD STUFFING,BREAD,DRY MIX,PREP",177.0,3.2,21.7,8.6,524.0,0.0
"BREAD STUFFING,CORNBREAD,DRY MIX",389.0,10.0,76.7,4.2,1283.0,0.0
"BREAD STUFFING,CORNBREAD,DRY MIX,PREP",179.0,2.9,21.9,8.8,455.0,0.0
"CAKE,ANGELFOOD,DRY MIX",373.0,8.9,85.1,0.4,488.0,0.0
"CAKE,CARROT,DRY MIX,PUDDING-TYPE",415.0,5.1,79.2,9.8,567.0,0.0
"CAKE,CHOC,DRY MIX,PUDDING-TYPE",396.0,4.6,78.7,9.2,893.0,0.0
"CAKE,CHOC,DRY MIX,REG",428.0,5.9,73.0,15.6,825.0,0.0
"COFFEECAKE,CINN W/CRUMB TOPPING,DRY MIX",436.0,4.8,77.7,12.0,596.0,0.0
"CAKE,GERMAN CHOC,DRY MIX,PUDDING-TYPE",401.0,4.0,80.1,9.5,813.0,0.0
"CAKE,GINGERBREAD,DRY MIX",437.0,4.4,74.6,13.8,657.0,0.0
"CAKE,MARBLE,DRY MIX,PUDDING-TYPE",416.0,3.4,79.3,11.7,656.0,0.0
"CAKE,WHITE,DRY MIX,PUDDING-TYPE,ENR",423.0,3.9,81.0,9.5,665.0,0.0
"CAKE,WHITE,DRY MIX,REG",426.0,4.5,78.0,10.9,664.0,0.0
"CAKE,YEL,DRY MIX,PUDDING-TYPE",423.0,4.0,79.9,9.8,687.0,0.0
"CAKE,YEL,DRY MIX,REG,ENR",432.0,4.4,78.1,11.6,657.0,0.0
"COOKIES,ANIMAL CRACKERS (INCL ARROWROOT,TEA BISCUITS,)",446.0,6.9,74.1,13.8,482.0,0.0
"COOKIES,BROWNIES,DRY MIX,REG",434.0,4.0,76.6,14.9,303.0,0.0
"COOKIES,CHOCOLATE WAFERS",433.0,6.6,72.4,14.2,690.0,0.0
"COOKIES,CHOC CHIP,DRY MIX",497.0,4.6,66.1,25.2,290.0,0.0
"COOKIES,CHOC CHIP,REFR DOUGH",443.0,4.4,61.4,20.4,209.0,0.0
"COOKIES,CHOC CHIP,REFR DOUGH,BKD",492.0,4.9,68.2,22.6,232.0,0.0
"COOKIES,CHOC SNDWCH,W/CREME FILLING,REG",469.0,5.61,70.67,19.78,503.0,0.0
"COOKIES,CHOC SNDWCH,W/CREME FILLING,REG,CHOCOLATE-COATED",481.0,3.6,66.1,26.4,326.0,0.0
"COOKIES,CHOC SNDWCH,W/EX CREME FILLING",497.0,4.33,68.2,24.52,351.0,0.0
"COOKIES,FIG BARS",348.0,3.7,70.9,7.3,350.0,0.0
"COOKIES,FORTUNE",378.0,4.2,84.0,2.7,274.0,0.0
"COOKIES,GINGERSNAPS",416.0,5.6,76.9,9.8,558.0,0.0
"COOKIES,GRAHAM CRACKERS,PLN OR HONEY (INCL CINN)",423.0,6.9,76.8,10.1,477.0,0.0
"COOKIES,GRAHAM CRACKERS,CHOCOLATE-COATED",484.0,5.8,66.5,23.2,257.0,0.0
"COOKIES,LADYFINGERS,W/LEMON JUC&RIND",365.0,10.6,59.7,9.1,147.0,0.0
"COOKIES,MARSHMLLW,CHOCOLATE-COATED (INCL MARSHMLLW PIES)",421.0,4.0,67.7,16.9,168.0,0.0
"COOKIES,MOLASSES",430.0,5.6,73.8,12.8,459.0,0.0
"COOKIES,OATMEAL,COMMLY PREP,REG",450.0,6.2,68.7,18.1,383.0,0.0
"COOKIES,OATMEAL,COMMLY PREP,SOFT-TYPE",409.0,6.1,65.7,14.7,349.0,0.0
"COOKIES,OATMEAL,DRY MIX",462.0,6.5,67.3,19.2,473.0,0.0
"COOKIES,OATMEAL,REFR DOUGH",424.0,5.4,59.1,18.9,294.0,0.0
"COOKIES,OATMEAL,REFR DOUGH,BKD",471.0,6.0,65.7,21.0,327.0,0.0
"COOKIES,OATMEAL,PREP FROM RECIPE,W/RAISINS",435.0,6.5,68.4,16.2,538.0,0.0
"COOKIES,PNUT BUTTER,COMMLY PREP,REG",477.0,9.6,58.9,23.6,415.0,0.0
"COOKIES,PNUT BUTTER,COMMLY PREP,SOFT-TYPE",457.0,5.3,57.7,24.4,336.0,0.0
"COOKIES,PNUT BUTTER,REFR DOUGH",458.0,8.2,52.1,25.0,397.0,0.0
"COOKIES,PNUT BUTTER,REFR DOUGH,BKD",503.0,9.1,57.3,27.5,436.0,0.0
"COOKIES,PNUT BUTTER SNDWCH,REG",478.0,8.8,65.6,21.1,368.0,0.0
"COOKIES,RAISIN,SOFT-TYPE",401.0,4.1,68.0,13.6,338.0,0.0
"COOKIES,BROWNIES,DRY MIX,SPL DIETARY",426.0,2.9,80.4,12.5,83.0,0.0
"COOKIES,BROWNIES,DRY MIX,SPL DIETARY,PREP",384.0,3.8,71.3,11.1,94.0,0.0
"COOKIES,CHOC CHIP,COMMLY PREP,SPL DIETARY",450.0,3.9,73.4,16.8,406.0,0.0
"COOKIES,CHOC SNDWCH,W/CREME FILLING,SPL DIETARY",461.0,4.5,67.7,22.1,243.0,0.0
"COOKIES,OATMEAL,COMMLY PREP,SPL DIETARY",449.0,4.8,69.9,18.0,406.0,0.0
"COOKIES,PNUT BUTTER SNDWCH,SPL DIETARY",535.0,10.0,50.8,34.0,412.0,0.0
"COOKIES,SUGAR WAFERS W/CREME FILLING,SPL DIETARY",502.0,3.1,66.0,25.7,9.0,0.0
"COOKIES,SUGAR,COMMLY PREP,SPL DIETARY",431.0,4.1,76.8,13.0,281.0,0.0
"COOKIES,SUGAR,COMMLY PREP,REG (INCL VANILLA)",478.0,5.1,67.9,21.1,357.0,0.0
"COOKIES,SUGAR,REFR DOUGH",436.0,4.2,59.0,20.7,422.0,0.0
"COOKIES,SUGAR,REFR DOUGH,BKD",484.0,4.7,65.6,23.1,468.0,0.0
"COOKIES,SUGAR WAFERS W/CREME FILLING,REG",502.0,3.84,70.64,23.24,103.0,0.0
"COOKIES,VANILLA SNDWCH W/CREME FILLING",483.0,4.5,72.1,20.0,349.0,0.0
"PUFF PASTRY,FRZ,RTB,BKD",558.0,7.4,45.7,38.5,253.0,0.0
"COOKIES,VANILLA WAFERS,LOWER FAT",441.0,5.0,73.6,15.2,388.0,0.0
"COOKIES,VANILLA WAFERS,HIGHER FAT",473.0,4.3,71.1,19.4,306.0,0.0
"CRACKERS,CHEESE,REGULAR",489.0,10.93,59.42,22.74,973.0,0.0
"CRACKERS,CHS,SANDWICH-TYPE W/PNUT BUTTER FILLING",496.0,12.41,56.74,25.12,913.0,0.0
"CRACKERS,CRISPBREAD,RYE",366.0,7.9,82.2,1.3,453.0,0.0
"CRACKERS,MATZO,PLAIN",395.0,10.0,83.7,1.4,0.0,0.0
"CRACKERS,MATZO,EGG",391.0,12.3,78.6,2.1,21.0,0.0
"CRACKERS,MATZO,WHOLE-WHEAT",351.0,13.1,78.9,1.5,2.0,0.0
"CRACKERS,MELBA TOAST,PLN",390.0,12.1,76.6,3.2,598.0,0.0
"CRACKERS,MELBA TOAST,RYE (INCL PUMPERNICKEL)",389.0,11.6,77.3,3.4,899.0,0.0
"CRACKERS,MELBA TOAST,WHEAT",374.0,12.9,76.4,2.3,837.0,0.0
"CRACKERS,MILK",455.0,7.6,69.7,15.8,592.0,0.0
"CRACKERS,RUSK TOAST",407.0,13.5,72.3,7.2,253.0,0.0
"CRACKERS,RYE,SANDWICH-TYPE W/CHS FILLING",481.0,9.2,60.8,22.3,1044.0,0.0
"CRACKERS,RYE,WAFERS,PLAIN",334.0,9.6,80.4,0.9,557.0,0.0
"CRACKERS,RYE,WAFERS,SEASONED",381.0,9.0,73.8,9.2,887.0,0.0
"CRACKERS,SALTINES (INCL OYSTER,SODA,SOUP)",421.0,9.5,74.34,8.85,1116.0,0.0
"CRACKERS,STD SNACK-TYPE,REG",504.0,6.6,61.37,25.83,865.0,0.0
"CRACKERS,STD SNACK-TYPE,SNDWCH,W/CHS FILLING",477.0,9.3,61.7,21.1,888.0,0.0
"CRACKERS,STD SNACK-TYPE,SNDWCH,W/PNUT BUTTER FILLING",494.0,11.47,58.38,24.54,901.0,0.0
"CRACKERS,WHEAT,REGULAR",456.0,8.95,67.35,17.36,918.0,0.0
"CRACKERS,WHEAT,SNDWCH,W/CHS FILLING",497.0,9.8,58.2,25.0,913.0,0.0
"CRACKERS,WHEAT,SNDWCH,W/PNUT BUTTER FILLING",495.0,13.5,53.8,26.7,807.0,0.0
"CRACKERS,WHOLE-WHEAT",427.0,10.58,69.55,14.13,704.0,0.0
CRACKER MEAL,383.0,9.3,80.9,1.7,16.0,0.0
"CROISSANTS,BUTTER",406.0,8.2,45.8,21.0,347.0,0.0
"CROISSANTS,APPLE",254.0,7.4,37.1,8.7,274.0,0.0
"CROISSANTS,CHEESE",414.0,9.2,47.0,20.9,361.0,0.0
"CROUTONS,PLAIN",407.0,11.9,73.5,6.6,698.0,0.0
"CROUTONS,SEASONED",465.0,10.8,63.5,18.3,1089.0,0.0
"DANISH PASTRY,CINN,ENR",403.0,7.0,44.6,22.4,371.0,0.0
"DANISH PASTRY,CHEESE",374.0,8.0,37.2,21.9,322.0,0.0
"DANISH PASTRY,FRUIT,ENR",371.0,5.4,47.8,18.5,354.0,0.0
"DANISH PASTRY,NUT (INCL ALMOND,RAISIN NUT,CINN NUT)",430.0,7.1,45.7,25.2,298.0,0.0
"DOUGHNUTS,CAKE-TYPE,PLN (INCLUDES UNSUGARED,OLD-FASHIONED)",418.0,5.87,45.63,23.55,557.0,0.0
"DOUGHNUTS,CAKE-TYPE,PLN,CHOCOLATE-COATED OR FRSTD",452.0,4.93,51.33,25.25,326.0,0.0
"DOUGHNUTS,CAKE-TYPE,PLN,SUGARED OR GLAZED",426.0,5.2,50.8,22.9,402.0,0.0
"DOUGHNUTS,CAKE-TYPE,CHOC,SUGARED OR GLAZED",417.0,4.5,57.4,19.9,397.0,0.0
"DOUGHNUTS,CAKE-TYPE,WHEAT,SUGARED OR GLAZED",360.0,6.3,42.6,19.3,427.0,0.0
"DOUGHNUTS,FRENCH CRULLERS,GLAZED",412.0,3.1,59.5,18.3,345.0,0.0
"DOUGHNUTS,YEAST-LEAVENED,W/CREME FILLING",361.0,6.4,30.0,24.5,309.0,0.0
"DOUGHNUTS, YEAST-LEAVENED, GLAZED, ENRICHED (INC HONEY BUNS)",399.0,6.21,50.64,19.1,316.0,0.0
"DOUGHNUTS,YEAST-LEAVENED,W/JELLY FILLING",340.0,5.9,39.0,18.7,240.0,0.0
"ECLAIRS,CUSTARD-FILLED W/CHOC GLAZE,PREP FROM RECIPE",262.0,6.4,24.2,15.7,337.0,0.0
"ENGLISH MUFFIN, PLN,ENCHED.W/CA PROP (INCLD SOURDOUGH)",227.0,8.87,44.17,1.69,362.0,0.0
"ENGLISH,MUFFIN,PLN,TSTD,ENR,W/CA PROP(INCL SOURDOUGH)",270.0,10.32,52.65,2.02,477.0,0.0
"ENGLISH MUFFINS,MIXED-GRAIN (INCL GRANOLA)",235.0,9.1,46.3,1.8,334.0,0.0
"ENGLISH MUFFINS,MIXED-GRAIN,TSTD (INCL GRANOLA)",255.0,9.9,50.3,1.9,453.0,0.0
"ENGLISH MUFFINS,RAISIN-CINNAMON (INCLUDES APPLE-CINNAMON)",240.0,7.91,48.1,1.8,277.0,0.0
"ENGLISH MUFFINS,RAISIN-CINNAMON,TSTD (INCL APPLE-CINNAMON)",276.0,8.87,55.04,2.21,369.0,0.0
"ENGLISH MUFFINS,WHEAT",223.0,8.7,44.8,2.0,382.0,0.0
"ENGLISH MUFFINS,WHEAT,TSTD",243.0,9.4,48.7,2.1,415.0,0.0
"ENGLISH MUFFINS,WHOLE-WHEAT",203.0,8.8,40.4,2.1,364.0,0.0
"ENGLISH MUFFINS,WHOLE-WHEAT,TSTD",221.0,9.6,44.1,2.3,396.0,0.0
"FRENCH TOAST,FRZ,RTH",213.0,7.4,32.1,6.1,495.0,0.0
"ICE CRM CONES,CAKE OR WAFER-TYPE",417.0,8.1,79.0,6.9,256.0,0.0
"ICE CRM CONES,SUGAR,ROLLED-TYPE",402.0,7.9,84.1,3.8,251.0,0.0
"MUFFINS,BLUEBERRY,DRY MIX",366.0,4.9,63.2,10.0,548.0,0.0
"MUFFINS,BLUEBERRY,TOASTER-TYPE",313.0,4.6,53.3,9.5,247.0,0.0
"MUFFINS,CORN,DRY MIX,PREP",321.0,7.4,49.1,10.2,795.0,0.0
"MUFFINS,CORN,TOASTER-TYPE",346.0,5.3,57.9,11.3,430.0,0.0
"MUFFINS,OAT BRAN",270.0,7.0,48.3,7.4,393.0,0.0
"MUFFINS,WHEAT BRAN,DRY MIX",396.0,7.1,73.0,12.0,700.0,0.0
"MUFFINS,WHEAT BRAN,TOASTER-TYPE W/RAISINS",295.0,5.2,52.2,8.8,495.0,0.0
"PANCAKES PLN,FRZ,RTH (INCLUDES BUTTERMILK)",225.0,5.33,39.29,5.17,505.0,0.0
"PANCAKES,PLN,DRY MIX,COMPLETE (INCL BTTRMLK)",368.0,9.77,73.65,3.1,1082.0,0.0
"PANCAKES,PLN,DRY MIX,COMPLETE,PREP",194.0,5.2,36.7,2.5,628.0,0.0
"PANCAKES,PLN,DRY MIX,INCOMPLETE (INCL BTTRMLK)",355.0,10.0,73.6,1.7,1089.0,0.0
"PANCAKES,PLN,DRY MIX,INCOMPLETE,PREP",218.0,7.8,28.9,7.7,505.0,0.0
"PANCAKES,PLN,PREP FROM RECIPE",227.0,6.4,28.3,9.7,439.0,0.0
"PANCAKES,BLUEBERRY,PREP FROM RECIPE",222.0,6.1,29.0,9.2,412.0,0.0
"PANCAKES,BUCKWHEAT,DRY MIX,INCOMPLETE",340.0,10.9,71.3,2.7,767.0,0.0
"PANCAKES,SPL DIETARY,DRY MIX",349.0,8.9,73.9,1.4,456.0,0.0
"PANCAKES,WHOLE-WHEAT,DRY MIX,INCOMPLETE",344.0,12.8,71.0,1.5,1419.0,0.0
"PANCAKES,WHOLE-WHEAT,DRY MIX,INCOMPLETE,PREP",208.0,8.5,29.4,6.5,572.0,0.0
"PIE CRUST,COOKIE-TYPE,PREP FROM RECIPE,GRAHAM CRACKER,BKD",494.0,4.2,65.2,24.9,571.0,0.0
"PIE CRUST,STANDARD-TYPE,DRY MIX",518.0,6.9,52.1,31.4,753.0,0.0
"PIE CRUST,STANDARD-TYPE,DRY MIX,PREP,BKD",501.0,6.7,50.4,30.4,729.0,0.0
"PIE CRUST,STANDARD-TYPE,FRZ,RTB,ENR",457.0,6.16,48.62,26.07,409.0,0.0
"PIE CRUST,STANDARD-TYPE,FRZ,RTB,ENR,BKD",508.0,6.5,56.24,28.59,467.0,0.0
"PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,BKD",527.0,6.4,47.5,34.6,542.0,0.0
"PUFF PASTRY,FRZ,RTB",551.0,7.3,45.1,38.1,249.0,0.0
PHYLLO DOUGH,299.0,7.1,52.6,6.0,483.0,0.0
"POPOVERS,DRY MIX,ENRICHED",371.0,10.4,71.0,4.3,906.0,0.0
"ROLLS, DINNER, PLN,COMM PREPARED (INC BROWN -N- SERVE)",310.0,10.86,52.04,6.47,536.0,0.0
"ROLLS,DINNER,EGG",307.0,9.5,52.0,6.4,459.0,0.0
"ROLLS,DINNER,OAT BRAN",236.0,9.5,40.2,4.6,413.0,0.0
"ROLLS,DINNER,RYE",286.0,10.3,53.1,3.4,650.0,0.0
"ROLLS,DINNER,WHEAT",273.0,8.6,46.0,6.3,485.0,0.0
"ROLLS,DINNER,WHOLE-WHEAT",266.0,8.7,51.1,4.7,401.0,0.0
"ROLLS,FRENCH",277.0,8.6,50.2,4.3,507.0,0.0
"ROLLS,HAMBURGER OR HOTDOG,PLN",278.0,9.87,50.15,3.76,500.0,0.0
"ROLLS,HAMBURGER OR HOTDOG,MIXED-GRAIN",263.0,9.6,44.6,6.0,458.0,0.0
"ROLLS,HAMBURGER OR HOTDOG,RED-CAL",196.0,8.3,42.1,2.0,442.0,0.0
"ROLLS,HARD (INCL KAISER)",293.0,9.9,52.7,4.3,544.0,0.0
"STRUDEL,APPLE",274.0,3.3,41.1,11.2,157.0,0.0
"SWEET ROLLS,CHEESE",360.0,7.1,43.7,18.3,357.0,0.0
"SWEET ROLLS,CINN,COMMLY PREP W/RAISINS",372.0,6.2,50.9,16.4,304.0,0.0
"SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG",333.0,5.0,51.6,12.2,765.0,0.0
"SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG,BKD",362.0,5.4,56.1,13.2,832.0,0.0
"TACO SHELLS, BAKED",467.0,7.08,62.72,20.83,389.0,0.0
"TOASTER PASTRIES,BROWN-SUGAR-CINNAMON",412.0,5.1,68.1,14.2,424.0,0.0
"TOASTER PASTRIES,FRUIT",391.0,4.67,69.23,10.56,334.0,0.0
"TORTILLAS,RTB OR -FRY,CORN",218.0,5.7,44.64,2.85,45.0,0.0
"TORTILLAS,RTB OR -FRY,FLR,REFR",301.0,8.0,51.21,6.7,686.0,0.0
"WAFFLES,PLN,FRZ,RTH",285.0,6.47,42.98,9.7,638.0,0.0
"WAFFLES,PLN,PREP FROM RECIPE",291.0,7.9,32.9,14.1,511.0,0.0
WONTON WRAPPERS (INCL EGG ROLL WRAPPERS),291.0,9.8,57.9,1.5,572.0,0.0
"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,NA AL SULFATE",53.0,0.0,27.7,0.0,10600.0,0.0
"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,STRAIGHT PO4",51.0,0.1,24.1,0.0,7893.0,0.0
"LEAVENING AGENTS,BAKING PDR,LOW-SODIUM",97.0,0.1,46.9,0.4,90.0,0.0
"LEAVENING AGENTS,BAKING SODA",0.0,0.0,0.0,0.0,27360.0,0.0
"LEAVENING AGENTS,CRM OF TARTAR",258.0,0.0,61.5,0.0,52.0,0.0
"LEAVENING AGENTS,YEAST,BAKER'S,COMPRESSED",105.0,8.4,18.1,1.9,30.0,0.0
"LEAVENING AGENTS,YEAST,BAKER'S,ACTIVE DRY",325.0,40.44,41.22,7.61,51.0,0.0
"BREAD CRUMBS,DRY,GRATED,SEASONED",383.0,14.13,68.49,5.48,1759.0,0.0
"COOKIES,OATMEAL,PREP FROM RECIPE,WO/RAISINS",447.0,6.8,66.4,17.9,598.0,0.0
"COOKIES,CHOC CHIP,PREP FROM RECIPE,MADE W/BUTTER",488.0,5.7,58.2,28.4,341.0,0.0
"BREAD,PROT,TSTD (INCL GLUTEN)",270.0,13.2,48.1,2.4,601.0,0.0
"BREAD,RICE BRAN,TOASTED",264.0,9.7,47.3,5.0,478.0,0.0
"BREAD,WHEAT GERM,TOASTED",293.0,10.7,54.3,3.3,621.0,0.0
"MUFFINS,BLUEBERRY,TOASTER-TYPE,TSTD",333.0,4.9,56.7,10.1,509.0,0.0
"MUFFINS,WHEAT BRAN,TOASTER-TYPE W/RAISINS,TSTD",313.0,5.5,55.5,9.4,527.0,0.0
"PANCAKES,BTTRMLK,PREP FROM RECIPE",227.0,6.8,28.7,9.3,522.0,0.0
"ROLLS,DINNER,PLN,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",316.0,8.5,53.4,7.3,415.0,0.0
"PIE CRUST,COOKIE-TYPE,PREP FROM RECIPE,CHOC WAFER,CHILLED",506.0,5.1,54.4,31.1,672.0,0.0
"PIE CRUST,COOKIE-TYPE,PREP FR RECIPE,GRAHAM CRACKER,CHILLED",484.0,4.1,63.9,24.4,560.0,0.0
"CRACKERS,MATZO,EGG&ONION",391.0,10.0,77.1,3.9,285.0,0.0
"PIE CRUST,COOKIE-TYPE,PREP FROM RECIPE,VANILLA WAFER,CHILLED",531.0,3.7,50.2,36.2,515.0,0.0
"PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,UNBAKED",469.0,5.7,42.3,30.8,482.0,0.0
"WAFFLES,PLN,FRZ,READY -TO-HEAT,TSTD",312.0,7.19,49.29,9.61,730.0,0.0
"BAGELS,PLN,ENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",275.0,10.5,53.4,1.6,534.0,0.0
"BAGELS,PLN,UNENR,W/CA PROP (INCL ONION,POPPY,SESAME)",275.0,10.5,53.4,1.6,534.0,0.0
"BAGELS,PLN,UNENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",275.0,10.5,53.4,1.6,534.0,0.0
"BREAD,CORNBREAD,DRY MIX,UNENR (INCL CORN MUFFIN MIX)",418.0,7.0,69.5,12.2,1111.0,0.0
"BREAD,PITA,WHITE,UNENR",275.0,9.1,55.7,1.2,536.0,0.0
"BREAD,RAISIN,UNENRICHED",274.0,7.9,52.3,4.4,390.0,0.0
"BREAD,WHITE,COMMLY PREP,LO NA NO SALT",267.0,8.2,49.5,3.6,27.0,0.0
"COFFEECAKE,CINN W/CRUMB TOPPING,COMMLY PREP,UNENR",418.0,6.8,46.7,23.3,351.0,0.0
"CAKE,POUND,COMMLY PREP,OTHER THAN ALL BUTTER,UNENR",389.0,5.2,52.5,17.9,400.0,0.0
"CAKE,WHITE,DRY MIX,PUDDING-TYPE,UNENR",423.0,3.9,81.0,9.5,665.0,0.0
"CAKE,YEL,DRY MIX,REG,UNENR",432.0,4.4,78.1,11.6,657.0,0.0
"COOKIES,BUTTER,COMMLY PREP,UNENR",467.0,6.1,68.9,18.8,351.0,0.0
"COOKIES,CHOC CHIP,COMMLY PREP,REG,HIGHER FAT,UNENR",481.0,5.4,66.8,22.6,315.0,0.0
