food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
DULCE DE LECHE,315.0,6.84,55.35,7.35,129.0,0.0
"EGG SUB,LIQ OR FRZ,FAT FREE",48.0,10.0,2.0,0.0,199.0,0.0
"CHEESE,DRY WHITE,QUESO SECO",325.0,24.51,2.04,24.35,1808.0,0.0
"CHEESE,FRSH,QUESO FRESCO",299.0,18.09,2.98,23.82,751.0,0.0
"CHEESE,WHITE,QUESO BLANCO",310.0,20.38,2.53,24.31,704.0,0.0
"MILK,BTTRMLK,FLUID,WHL",62.0,3.21,4.88,3.31,105.0,0.0
"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86.0,4.93,13.8,1.25,66.0,0.0
"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104.0,4.4,19.7,0.8,81.0,0.0
"ICE CRM,SOFT SERVE,CHOC",222.0,4.1,22.2,13.0,61.0,0.0
"ICE CRM,BAR OR STK,CHOC COVERED",331.0,4.1,24.5,24.1,68.0,0.0
ICE CRM SNDWCH,237.0,4.29,37.14,8.57,129.0,0.0
ICE CRM COOKIE SNDWCH,240.0,3.7,39.6,7.4,162.0,0.0
"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354.0,5.21,34.38,21.88,94.0,0.0
"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186.0,4.29,39.64,3.04,146.0,0.0
"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200.0,5.71,42.86,2.86,164.0,0.0
"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129.0,4.41,27.94,0.0,110.0,0.0
"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147.0,4.41,33.09,1.47,92.0,0.0
"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88.0,4.4,11.88,3.08,92.0,0.0
"CHEESE,MEXICAN BLEND",358.0,23.54,1.75,28.51,696.0,0.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310.0,18.18,8.52,22.63,1272.0,0.0
"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371.0,18.13,3.7,31.79,1671.0,0.0
"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330.0,16.86,8.56,25.63,1284.0,0.0
"EGG,WHL,RAW,FRZ,SALTED",138.0,10.97,0.83,10.07,3663.0,0.0
"ALLSPICE,GROUND",263.0,6.09,72.12,8.69,77.0,0.0
ANISE SEED,337.0,17.6,50.02,15.9,16.0,0.0
"SPICES,BASIL,DRIED",233.0,22.98,47.75,4.07,76.0,0.0
"SPICES,BAY LEAF",313.0,7.61,74.97,8.36,23.0,0.0
CARAWAY SEED,333.0,19.77,49.9,14.59,17.0,0.0
"SPICES,CARDAMOM",311.0,10.76,68.47,6.7,18.0,0.0
CELERY SEED,392.0,18.07,41.35,25.27,160.0,0.0
"CHERVIL,DRIED",237.0,23.2,49.1,3.9,83.0,0.0
CHILI POWDER,282.0,13.46,49.7,14.28,1640.0,0.0
"CINNAMON,GROUND",247.0,3.99,80.59,1.24,10.0,0.0
"CLOVES,GROUND",274.0,5.97,65.53,13.0,277.0,0.0
"CORIANDER LEAF,DRIED",279.0,21.93,52.1,4.78,211.0,0.0
CORIANDER SEED,298.0,12.37,54.99,17.77,35.0,0.0
CUMIN SEED,375.0,17.81,44.24,22.27,168.0,0.0
CURRY POWDER,325.0,12.66,58.15,13.81,52.0,0.0
DILL SEED,305.0,15.98,55.17,14.54,20.0,0.0
"DILL WEED,DRIED",253.0,19.96,55.82,4.36,208.0,0.0
FENNEL SEED,345.0,15.8,52.29,14.87,88.0,0.0
FENUGREEK SEED,323.0,23.0,58.35,6.41,67.0,0.0
GARLIC POWDER,331.0,16.55,72.73,0.73,60.0,0.0
"GINGER,GROUND",335.0,8.98,71.62,4.24,27.0,0.0
"MACE,GROUND",475.0,6.71,50.5,32.38,80.0,0.0
"MARJORAM,DRIED",271.0,12.66,60.56,7.04,77.0,0.0
"SPICES,MUSTARD SD,GROUND",508.0,26.08,28.09,36.24,13.0,0.0
"NUTMEG,GROUND",525.0,5.84,49.29,36.31,16.0,0.0
ONION POWDER,341.0,10.41,79.12,1.04,73.0,0.0
"SPICES,OREGANO,DRIED",265.0,9.0,68.92,4.28,25.0,0.0
PAPRIKA,282.0,14.14,53.99,12.89,68.0,0.0
"PARSLEY,DRIED",292.0,26.63,50.64,5.48,452.0,0.0
"PEPPER,BLACK",251.0,10.39,63.95,3.26,20.0,0.0
"PEPPER,RED OR CAYENNE",318.0,12.01,56.63,17.27,30.0,0.0
"PEPPER,WHITE",296.0,10.4,68.61,2.12,5.0,0.0
POPPY SEED,525.0,17.99,28.13,41.56,26.0,0.0
POULTRY SEASONING,307.0,9.59,65.59,7.53,27.0,0.0
PUMPKIN PIE SPICE,342.0,5.76,69.28,12.6,52.0,0.0
"ROSEMARY,DRIED",331.0,4.88,64.06,15.22,50.0,0.0
SAFFRON,310.0,11.43,65.37,5.85,148.0,0.0
"SAGE,GROUND",315.0,10.63,60.73,12.75,11.0,0.0
"SAVORY,GROUND",272.0,6.73,68.73,5.91,24.0,0.0
"SPICES,TARRAGON,DRIED",295.0,22.77,50.22,7.24,62.0,0.0
"SPICES,THYME,DRIED",276.0,9.11,63.94,7.43,55.0,0.0
"TURMERIC,GROUND",354.0,7.83,64.93,9.88,38.0,0.0
"BASIL,FRESH",23.0,3.15,2.65,0.64,4.0,0.0
"DILL WEED,FRSH",43.0,3.46,7.02,1.12,61.0,0.0
"MUSTARD,PREPARED,YELLOW",67.0,4.37,5.33,4.01,1135.0,0.0
"SALT,TABLE",0.0,0.0,0.0,0.0,38758.0,0.0
"VINEGAR,CIDER",21.0,0.0,0.93,0.0,5.0,0.0
"THYME,FRSH",101.0,5.56,24.45,1.68,9.0,0.0
VANILLA EXTRACT,288.0,0.06,12.65,0.06,9.0,0.0
"VANILLA EXTRACT,IMITN,ALCOHOL",237.0,0.05,2.41,0.0,4.0,0.0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",56.0,0.03,14.4,0.0,3.0,0.0
"VINEGAR,DISTILLED",18.0,0.0,0.04,0.0,2.0,0.0
"CAPERS,CANNED",23.0,2.36,4.89,0.86,2964.0,0.0
"HORSERADISH,PREPARED",48.0,1.18,11.29,0.69,314.0,0.0
"ROSEMARY,FRESH",131.0,3.31,20.7,5.86,26.0,0.0
"PEPPERMINT,FRESH",70.0,3.75,14.89,0.94,31.0,0.0
"SPEARMINT,FRESH",44.0,3.29,8.41,0.73,30.0,0.0
"SPEARMINT,DRIED",285.0,19.93,52.04,6.03,344.0,0.0
"VINEGAR,RED WINE",19.0,0.04,0.27,0.0,8.0,0.0
"VINEGAR,BALSAMIC",88.0,0.49,17.03,0.0,23.0,0.0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188.0,0.0,56.29,0.0,8068.0,0.0
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330.0,0.82,76.61,2.24,14.0,0.0
ZWIEBACK,426.0,10.1,74.2,9.7,227.0,0.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483.0,16.5,54.8,22.0,260.0,0.0
"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88.0,3.33,8.57,4.48,52.0,0.0
