food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"WHEY,ACID,FLUID",24.0,0.76,5.12,0.09,48.0,0.0,0.24,3.1666665347222276,21.33333244444448,0.3749999843750006,0.0
"WHEY,ACID,DRIED",339.0,11.73,73.45,0.54,968.0,0.0,3.39,3.460176980943431,21.666666602753196,0.15929203492834207,0.0
"WHEY,SWEET,FLUID",27.0,0.85,5.14,0.36,54.0,0.0,0.27,3.1481480315500727,19.037036331961616,1.3333332839506191,0.0
"WHEY,SWEET,DRIED",353.0,12.93,74.46,1.07,1079.0,0.0,3.53,3.6628895080371398,21.09348435950854,0.3031161464500959,0.0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,4.66,3.25,46.0,0.0,0.61,5.688524496909435,7.639344137059932,5.327868765116905,0.0
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,7.04,1.55,70.0,0.0,0.63,8.333333201058203,11.174602997228526,2.460317421264803,0.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,7.68,0.18,77.0,0.0,0.56,10.232142674426024,13.714285469387761,0.32142856568877565,0.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,13.8,1.25,66.0,0.0,0.85,5.799999931764707,16.2352939266436,1.4705882179930798,0.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,18.64,1.15,53.0,0.0,0.99,4.02020197959392,18.828282638098155,1.1616161498826651,0.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,19.05,1.08,58.0,0.0,1.02,4.284313683487121,18.676470405132644,1.0588235190311421,0.0
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,4.86,18.6,1.41,65.0,0.0,1.05,4.628571384489797,17.714285545578235,1.3428571300680272,0.0
"EGG,WHL,RAW,FRSH",143.0,12.56,0.72,9.51,142.0,0.0,1.43,8.783216721795688,0.5034964999755489,6.6503496038437095,0.0
"EGG,WHITE,RAW,FRESH",52.0,10.9,0.73,0.17,166.0,0.0,0.52,20.961538058431962,1.403846126849113,0.3269230706360948,0.0
"EGG,YOLK,RAW,FRSH",322.0,15.86,3.59,26.54,48.0,0.0,3.22,4.925465823212839,1.114906828835693,8.242235999247715,0.0
